No,Score,Balls,Strike Rate,Player,Team,Opposition,Innings,Venue,City,Date,Result
33,117,57,205.3,Chris Gayle,Royal Challengers Bengaluru,Punjab Kings,1,M. Chinnaswamy Stadium, Bengaluru,06-May-15,Won
34,133*,59,225.42,AB de Villiers,Royal Challengers Bengaluru,Mumbai Indians,1,Wankhede Stadium, Mumbai,10-May-15,Won
35,104*,59,176.27,Shane Watson,Rajasthan Royals,Kolkata Knight Riders,1,Brabourne Stadium, Mumbai,16-May-15,Won
36,108,51,211.76,Quinton de Kock,Delhi Capitals,Royal Challengers Bengaluru,2,M. Chinnaswamy Stadium, Bengaluru,17-Apr-16,Won
37,100*,63,158.73,Virat Kohli,Royal Challengers Bengaluru,Gujarat Lions,1,Saurashtra Cricket Association Stadium, Rajkot,24-Apr-16,Lost
38,101,54,187.03,Steve Smith,Rising Pune Supergiants,Gujarat Lions,1,MCA Cricket Ground, Pune,29-Apr-16,Lost
39,108*,58,186.2,Virat Kohli,Royal Challengers Bengaluru,Rising Pune Supergiants,2,M. Chinnaswamy Stadium, Bengaluru,07-May-16,Won
40,129*,52,248.07,AB de Villiers,Royal Challengers Bengaluru,Gujarat Lions,1,M. Chinnaswamy Stadium, Bengaluru,14-May-16,Won
41,109,55,198.18,Virat Kohli,Royal Challengers Bengaluru,Gujarat Lions,1,M. Chinnaswamy Stadium, Bengaluru,14-May-16,Won
42,113,50,226,Virat Kohli,Royal Challengers Bengaluru,Punjab Kings,1,M. Chinnaswamy Stadium, Bengaluru,18-May-16,Won
43,102,63,161.9,Sanju Samson,Delhi Capitals,Rising Pune Supergiants,1,MCA Cricket Ground, Pune,11-Apr-17,Won
44,104*,60,173.3,Hashim Amla,Punjab Kings,Mumbai Indians,1,Holkar Stadium, Indore,20-Apr-17,Lost
45,126,59,213.55,David Warner,Sunrisers Hyderabad,Kolkata Knight Riders,1,Rajiv Gandhi International Cricket Stadium, Hyderabad,30-Apr-17,Won
46,103*,63,163.49,Ben Stokes,Rising Pune Supergiants,Gujarat Lions,2,MCA Cricket Ground, Pune,01-May-17,Won
47,104,60,173.33,Hashim Amla,Punjab Kings,Gujarat Lions,1,PCA Stadium, Mohali,07-May-17,Lost
